4,-1,-1,-1,-1,4,4,4,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,4,4,4,4
4,-1,29,-1,-1,4,4,4,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,4,4,4,4
4,-1,-1,-1,-1,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,37,37,-1,-1,-1,38,4,4,4,4
4,-1,-1,-1,-1,4,4,4,-1,-1,-1,-1,-1,-1,0,1,1,2,-1,-1,-1,38,4,4,4,4
11,-1,-1,-1,-1,4,4,4,-1,-1,-1,-1,0,2,4,4,4,4,-1,-1,-1,4,4,4,4,4
4,-1,-1,-1,0,4,4,-1,-1,-1,-1,-1,4,4,4,4,4,-1,-1,-1,-1,38,4,4,4,4
4,-1,-1,-1,4,4,4,-1,-1,-1,-1,-1,4,4,4,4,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,4,4,4,-1,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,11,4,4,-1,-1,-1,-1,-1,-1,-1,0,4,4,4,4
11,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4
4,-1,-1,-1,-1,37,37,0,1,4,4,4,4,4,-1,-1,-1,-1,-1,-1,37,37,4,4,4,4
4,37,37,37,37,0,1,4,4,4,11,4,4,4,34,-1,37,37,37,37,0,2,4,4,4,4
4,0,1,1,2,4,4,4,4,4,4,4,4,4,33,-1,0,1,1,1,4,4,4,4,4,4
4,4,4,11,11,4,4,4,4,4,4,4,4,4,0,1,4,4,4,4,4,4,4,4,4,4
